model,acquisition,features_set,split_type,graph_mode,in_channels,best_val_f1,test_f1,auprc,best_threshold,best_epoch,stop_epoch,final_lr,final_labeled
AL-GCN,entropy,local,temporal,dag,94,0.4872,0.1954,0.1195,0.65,3,13,0.005,120
AL-GCN,random,local,temporal,dag,94,0.491,0.2312,0.1363,0.95,16,26,0.005,120
